task,config,acc,acc_ci,auc,auc_ci,mcc,sens,spec,hy2,hy34,SIS,vs_published
ReadText,hand-crafted only (60d),0.7027027027027027,"[0.54,0.84]",0.6845238095238095,"[0.50,0.88]",0.3860673524276569,0.5625,0.8095238095238095,0.25,0.875,0.6428571428571429,-0.2517972972972973
ReadText,wav2vec2 L6 only (1536d),0.8918918918918919,"[0.78,0.97]",0.9345238095238095,"[0.84,1.00]",0.7937253933193772,0.75,1.0,0.5,1.0,0.9183673469387755,-0.06260810810810813
ReadText,wav2vec2 L5-8 mean (1536d),0.8918918918918919,"[0.78,0.97]",0.9255952380952381,"[0.83,0.99]",0.7937253933193772,0.75,1.0,0.5,1.0,0.9183673469387755,-0.06260810810810813
ReadText,EARLY fusion: L6 + hand-crafted,0.8648648648648649,"[0.76,0.97]",0.8988095238095237,"[0.77,0.99]",0.7288951613834163,0.75,0.9523809523809523,0.5,1.0,0.9183673469387755,-0.0896351351351351
ReadText,EARLY fusion: L5-8 mean + hand-crafted,0.8378378378378378,"[0.73,0.95]",0.8988095238095238,"[0.78,0.99]",0.6688444170247311,0.75,0.9047619047619048,0.5,1.0,0.9183673469387755,-0.11666216216216219
ReadText,"LATE fusion (nested weight, mean w=1.00)",0.8918918918918919,"[0.78,0.97]",0.9345238095238095,"[0.84,1.00]",0.7937253933193772,0.75,1.0,0.5,1.0,0.9183673469387755,-0.06260810810810813
SpontaneousDialogue,hand-crafted only (60d),0.6944444444444444,"[0.56,0.83]",0.7174603174603175,"[0.53,0.88]",0.37796447300922725,0.6666666666666666,0.7142857142857143,0.375,1.0,0.7619047619047619,-0.14255555555555555
SpontaneousDialogue,wav2vec2 L6 only (1536d),0.8611111111111112,"[0.75,0.97]",0.8698412698412699,"[0.71,0.99]",0.7171371656006362,0.7333333333333333,0.9523809523809523,0.5,1.0,0.9523809523809524,0.024111111111111194
SpontaneousDialogue,wav2vec2 L5-8 mean (1536d),0.8333333333333334,"[0.69,0.94]",0.8825396825396826,"[0.75,0.98]",0.6549455359345627,0.7333333333333333,0.9047619047619048,0.5,1.0,0.9523809523809524,-0.003666666666666596
SpontaneousDialogue,EARLY fusion: L6 + hand-crafted,0.8055555555555556,"[0.67,0.92]",0.853968253968254,"[0.69,0.97]",0.5976143046671969,0.6666666666666666,0.9047619047619048,0.375,1.0,0.7619047619047619,-0.031444444444444386
SpontaneousDialogue,EARLY fusion: L5-8 mean + hand-crafted,0.8333333333333334,"[0.69,0.94]",0.8571428571428571,"[0.71,0.97]",0.6549455359345627,0.7333333333333333,0.9047619047619048,0.5,1.0,0.9523809523809524,-0.003666666666666596
SpontaneousDialogue,"LATE fusion (nested weight, mean w=0.97)",0.8055555555555556,"[0.67,0.92]",0.8539682539682539,"[0.70,0.98]",0.5976143046671969,0.6666666666666666,0.9047619047619048,0.375,1.0,0.7619047619047619,-0.031444444444444386
