task,layer,acc,auc,mcc
ReadText,0,0.75,0.8291999999999999,0.5001000300100036
ReadText,1,0.8,0.8548,0.601929265428846
ReadText,2,0.78,0.8384,0.5640760748177662
ReadText,3,0.82,0.8592000000000001,0.6446583712203042
ReadText,4,0.83,0.8732,0.6633249580710799
ReadText,5,0.85,0.8616,0.7012634122382534
ReadText,6,0.84,0.858,0.6849495194215732
ReadText,7,0.81,0.8403999999999999,0.6231234454607114
ReadText,8,0.81,0.8432,0.6211190222681673
ReadText,9,0.8,0.8512000000000001,0.6
ReadText,10,0.81,0.8352,0.6211190222681673
ReadText,11,0.79,0.8231999999999999,0.582921932850343
ReadText,12,0.79,0.8352,0.5810468272831243
Monologue,0,0.84,0.8892,0.6849495194215732
Monologue,1,0.8,0.89,0.601929265428846
Monologue,2,0.81,0.8692000000000001,0.6211190222681673
Monologue,3,0.82,0.8815999999999999,0.6483527187784862
Monologue,4,0.83,0.9068,0.6633249580710799
Monologue,5,0.82,0.9036000000000001,0.6420578831241024
Monologue,6,0.82,0.904,0.6446583712203042
Monologue,7,0.82,0.9188000000000001,0.6405126152203485
Monologue,8,0.84,0.9096000000000001,0.6821865008193587
Monologue,9,0.84,0.8916,0.6821865008193587
Monologue,10,0.83,0.8979999999999999,0.6611912172532103
Monologue,11,0.81,0.8924000000000001,0.6201240372124044
Monologue,12,0.83,0.8852,0.6611912172532103
