model,analysis,task,n,acc,acc_lo,acc_hi,auc,auc_lo,auc_hi,mcc,sens,spec,hy1,hy2,hy34,u0,u1,u2,SIS,scaling
hand-crafted (60-d),within,ReadText,100,0.79,0.71,0.87,0.8488,0.7703776950780313,0.9187908835443962,0.5801160348116041,0.78,0.8,0.3333333333333333,0.7666666666666667,1.0,0.2857142857142857,0.782608695652174,0.95,0.33204633204633205,
wav2vec2 layer 6,within,ReadText,100,0.84,0.77,0.91,0.858,0.7729014730892357,0.9331779399837011,0.6849495194215732,0.78,0.9,0.5,0.8333333333333334,0.7857142857142857,0.42857142857142855,0.8260869565217391,0.85,0.5119047619047619,
hand-crafted (60-d),within,Monologue,100,0.73,0.64,0.81,0.8164,0.7242026164321427,0.894166778627532,0.4623173950192375,0.68,0.78,0.3333333333333333,0.7333333333333333,0.7142857142857143,0.14285714285714285,0.6521739130434783,0.9,0.18614718614718612,
wav2vec2 layer 6,within,Monologue,100,0.82,0.74,0.89,0.904,0.8404650500776764,0.9569821405762041,0.6446583712203042,0.76,0.88,0.6666666666666666,0.7333333333333333,0.8571428571428571,0.5714285714285714,0.6956521739130435,0.9,0.7226890756302521,
MDVR-KCL (ReadText) -> PC-GITA (ReadText),cross,ReadText,100,0.57,0.47,0.66,0.6155999999999999,0.5036227529264214,0.7202127659574465,0.18635220382275072,0.9,0.24,0.6666666666666666,0.9333333333333333,0.9285714285714286,0.7142857142857143,0.8695652173913043,1.0,0.7678571428571429,source statistics
MDVR-KCL (ReadText) -> PC-GITA (ReadText),cross,ReadText,100,0.55,0.45,0.65,0.6295999999999999,0.520000946969697,0.7370541407399972,0.1009946454058471,0.48,0.62,0.5,0.4666666666666667,0.5,0.2857142857142857,0.43478260869565216,0.6,0.5584415584415584,per-corpus statistics
PC-GITA (ReadText) -> MDVR-KCL (ReadText),cross,ReadText,37,0.43243243243243246,0.2702702702702703,0.5945945945945946,0.6785714285714287,0.5,0.8588273001508296,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,source statistics
PC-GITA (ReadText) -> MDVR-KCL (ReadText),cross,ReadText,37,0.6486486486486487,0.5135135135135135,0.8108108108108109,0.7023809523809524,0.5204369095816465,0.8764705882352941,0.2792906134356233,0.5625,0.7142857142857143,,0.25,0.875,0.2857142857142857,0.6666666666666666,1.0,0.36734693877551017,per-corpus statistics
MDVR-KCL (SpontaneousDialogue) -> PC-GITA (Monologue),cross,Monologue,100,0.62,0.53,0.71,0.7248,0.6184826395424222,0.8185280628598475,0.24722569302909875,0.74,0.5,0.8333333333333334,0.7333333333333333,0.7142857142857143,0.5714285714285714,0.6521739130434783,0.9,0.7445887445887445,source statistics
MDVR-KCL (SpontaneousDialogue) -> PC-GITA (Monologue),cross,Monologue,100,0.73,0.64,0.81,0.7332000000000001,0.6294254861944778,0.8285181463889904,0.4645753688668967,0.66,0.8,0.8333333333333334,0.6333333333333333,0.6428571428571429,0.5714285714285714,0.5652173913043478,0.8,0.8472906403940886,per-corpus statistics
PC-GITA (Monologue) -> MDVR-KCL (SpontaneousDialogue),cross,SpontaneousDialogue,36,0.6944444444444444,0.5277777777777778,0.8333333333333334,0.8285714285714286,0.6785302197802198,0.9498369565217392,0.4780914437337575,0.9333333333333333,0.5238095238095238,,0.875,1.0,1.0,0.8333333333333334,1.0,1.1428571428571428,source statistics
PC-GITA (Monologue) -> MDVR-KCL (SpontaneousDialogue),cross,SpontaneousDialogue,36,0.6944444444444444,0.5555555555555556,0.8333333333333334,0.8158730158730159,0.6666396103896105,0.939799331103679,0.41576092031014994,0.8,0.6190476190476191,,0.625,1.0,0.7142857142857143,0.8333333333333334,1.0,0.8163265306122449,per-corpus statistics
Italian (ReadText) -> PC-GITA (ReadText),cross,ReadText,100,0.5,0.4,0.6,0.6348,0.5169021739130436,0.7398706154965758,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,source statistics
Italian (ReadText) -> PC-GITA (ReadText),cross,ReadText,100,0.51,0.41,0.61,0.6308,0.5167951660664266,0.7363240605258267,0.023762422826087877,0.78,0.24,0.5,0.8333333333333334,0.7857142857142857,0.42857142857142855,0.7391304347826086,0.95,0.5119047619047619,per-corpus statistics
PC-GITA (ReadText) -> Italian (ReadText),cross,ReadText,45,0.5777777777777777,0.4222222222222222,0.7111111111111111,0.6428571428571429,0.4719914979757085,0.8000098814229248,0.14285714285714285,0.8333333333333334,0.2857142857142857,,,,,,,,source statistics
PC-GITA (ReadText) -> Italian (ReadText),cross,ReadText,45,0.6,0.4444444444444444,0.7333333333333333,0.6626984126984127,0.4919994652406417,0.8154761904761904,0.22953489598077764,0.4583333333333333,0.7619047619047619,,,,,,,,per-corpus statistics
