layer,cmvn,acc,d_acc,auc,mcc,sens,spec,hy2,d_hy2,hy34,u0,SIS
0,False,0.8378378378378378,0.1828378378378378,0.931547619047619,0.6688444170247311,0.75,0.9047619047619048,0.625,0.25,0.875,0.8571428571428571,1.2857142857142858
0,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
1,False,0.8108108108108109,0.15581081081081083,0.8958333333333333,0.6146192250648298,0.6875,0.9047619047619048,0.5,0.125,0.875,0.7142857142857143,1.0714285714285716
1,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
2,False,0.8378378378378378,0.1828378378378378,0.886904761904762,0.6771863474748655,0.6875,0.9523809523809523,0.5,0.125,0.875,0.5714285714285714,0.7346938775510203
2,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
3,False,0.7837837837837838,0.12878378378378375,0.8601190476190477,0.5606473016303537,0.625,0.9047619047619048,0.375,0.0,0.875,0.5714285714285714,0.8571428571428571
3,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
4,False,0.7837837837837838,0.12878378378378375,0.8839285714285714,0.5563569468887535,0.6875,0.8571428571428572,0.5,0.125,0.875,0.7142857142857143,1.0714285714285716
4,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
5,False,0.8378378378378378,0.1828378378378378,0.8958333333333333,0.6771863474748655,0.6875,0.9523809523809523,0.5,0.125,0.875,0.7142857142857143,1.0714285714285716
5,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
6,False,0.8918918918918919,0.23689189189189186,0.9345238095238095,0.7937253933193772,0.75,1.0,0.5,0.125,1.0,0.7142857142857143,0.9183673469387755
6,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
7,False,0.8648648648648649,0.2098648648648649,0.8988095238095237,0.7288951613834163,0.75,0.9523809523809523,0.5,0.125,1.0,0.7142857142857143,0.9183673469387755
7,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
8,False,0.8648648648648649,0.2098648648648649,0.9077380952380952,0.7288951613834163,0.75,0.9523809523809523,0.5,0.125,1.0,0.7142857142857143,0.9183673469387755
8,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
9,False,0.8108108108108109,0.15581081081081083,0.886904761904762,0.6146192250648298,0.6875,0.9047619047619048,0.5,0.125,0.875,0.7142857142857143,1.0714285714285716
9,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
10,False,0.7837837837837838,0.12878378378378375,0.8720238095238095,0.5563569468887535,0.6875,0.8571428571428572,0.5,0.125,0.875,0.7142857142857143,1.0714285714285716
10,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
11,False,0.7837837837837838,0.12878378378378375,0.8422619047619047,0.5606473016303537,0.625,0.9047619047619048,0.375,0.0,0.875,0.5714285714285714,0.8571428571428571
11,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
12,False,0.7567567567567568,0.10175675675675677,0.8571428571428571,0.5003432887462433,0.625,0.8571428571428572,0.375,0.0,0.875,0.5714285714285714,0.8571428571428571
12,True,0.43243243243243246,-0.22256756756756757,0.5,0.0,1.0,0.0,1.0,0.625,1.0,1.0,1.0
