layer,cmvn,acc,d_acc,auc,mcc,sens,spec,hy2,d_hy2,hy34,u0,SIS
0,False,0.8055555555555556,0.24355555555555553,0.9047619047619047,0.5976143046671969,0.6666666666666666,0.9047619047619048,0.375,0.125,1.0,0.5714285714285714,0.7619047619047619
0,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
1,False,0.7777777777777778,0.21577777777777774,0.8603174603174604,0.5376418578567306,0.6666666666666666,0.8571428571428572,0.5,0.25,0.8571428571428571,0.7142857142857143,1.1428571428571428
1,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
2,False,0.8055555555555556,0.24355555555555553,0.8698412698412699,0.5971484496103001,0.7333333333333333,0.8571428571428572,0.5,0.25,1.0,0.7142857142857143,0.9523809523809524
2,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
3,False,0.8055555555555556,0.24355555555555553,0.8793650793650793,0.5976143046671969,0.6666666666666666,0.9047619047619048,0.375,0.125,1.0,0.5714285714285714,0.7619047619047619
3,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
4,False,0.8055555555555556,0.24355555555555553,0.8698412698412699,0.5971484496103001,0.7333333333333333,0.8571428571428572,0.5,0.25,1.0,0.7142857142857143,0.9523809523809524
4,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
5,False,0.7777777777777778,0.21577777777777774,0.8634920634920635,0.5402260229238831,0.6,0.9047619047619048,0.375,0.125,0.8571428571428571,0.5714285714285714,0.9142857142857143
5,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
6,False,0.8611111111111112,0.2991111111111111,0.8698412698412699,0.7171371656006362,0.7333333333333333,0.9523809523809523,0.5,0.25,1.0,0.7142857142857143,0.9523809523809524
6,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
7,False,0.8333333333333334,0.2713333333333333,0.8888888888888888,0.6549455359345627,0.7333333333333333,0.9047619047619048,0.5,0.25,1.0,0.7142857142857143,0.9523809523809524
7,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
8,False,0.8333333333333334,0.2713333333333333,0.9174603174603175,0.6549455359345627,0.7333333333333333,0.9047619047619048,0.5,0.25,1.0,0.7142857142857143,0.9523809523809524
8,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
9,False,0.8333333333333334,0.2713333333333333,0.9301587301587302,0.6549455359345627,0.7333333333333333,0.9047619047619048,0.5,0.25,1.0,0.7142857142857143,0.9523809523809524
9,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
10,False,0.8333333333333334,0.2713333333333333,0.9142857142857143,0.6549455359345627,0.7333333333333333,0.9047619047619048,0.5,0.25,1.0,0.7142857142857143,0.9523809523809524
10,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
11,False,0.7777777777777778,0.21577777777777774,0.8476190476190476,0.5402260229238831,0.6,0.9047619047619048,0.375,0.125,0.8571428571428571,0.5714285714285714,0.9142857142857143
11,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
12,False,0.8055555555555556,0.24355555555555553,0.8539682539682539,0.6080052052987127,0.6,0.9523809523809523,0.375,0.125,0.8571428571428571,0.5714285714285714,0.9142857142857143
12,True,0.4166666666666667,-0.14533333333333337,0.5,0.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0
